Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-7.845717407,-10.22540132,3.595175843,-2.827769363
Contact,-9.575784051,-5.922389739,2.572288833,-6.206127902
Contact,-8.806813645,-8.099782183,7.594555835,-5.715157411
Contact,-8.287250371,-10.09191188,7.791921234,-1.632991936
Contact,-6.31451349,-7.73840575,9.084930096,-3.977896433
Contact,-11.67155603,-3.343971454,-2.579103024,-6.420649506
Contact,6.171673924,-6.73820807,-3.919161026,-2.811462985
Contact,2.889427498,-5.188290111,-5.633287908,-5.756922248
Contact,11.00711941,-5.971346397,-1.473634554,-1.751915506
Contact,12.71276839,-7.621542375,-3.555988919,-3.554331356
Contact,9.197170089,-5.675160286,-0.554610298,-5.95267503
Contact,13.75080648,-5.90057455,1.601065481,-0.220926885
Contact,13.5369824,-6.811810436,0.392145959,-2.668802895
Contact,7.482862495,-6.327577247,-1.014400295,-6.405341389
Contact,8.78028162,-5.791620994,-2.305373946,-5.011327802
Contact,9.829608135,-9.022343056,-5.767079635,-4.18775441
Contact,7.517770213,-2.294549703,0.13003222,-5.270696199
Contact,7.025230727,-3.778526873,-2.576645404,-6.861297612
Contact,6.513823675,-4.951934009,-4.706176149,-7.406970844
Contact,4.335280119,-2.449018728,-3.100442616,-7.485875887
Contact,5.812018707,-1.350891054,3.133611686,-7.197384276
Contact,4.652765269,-3.661712431,-1.717710731,-6.604345146
Contact,7.439981917,-2.046521737,-2.532090858,-7.093386475
Contact,4.203056222,-3.786869383,-8.639568769,-8.424078903
Contact,2.043685801,-4.052904873,-8.920768319,-8.13567572
Contact,0.678915124,-1.145015883,-11.73027004,-7.661747706
Contact,4.042442551,-2.098729803,-7.689236141,-7.941333476
Contact,0.832486663,0.27237618,0.312816171,-6.763480482
Contact,-3.627567633,-1.739759841,-3.172330491,-8.151534671
Contact,-4.434316703,-1.38912999,-4.950857962,-8.377831862
Contact,4.266957767,-4.787734169,-3.540158816,-5.653118172
Contact,-0.305264661,-1.577775085,-3.355727134,-7.115794296
Contact,-3.195608579,-5.185196185,-0.656841698,-8.225231989
Contact,-3.815796871,-4.20632221,-7.372971541,-9.772372714
Contact,-4.899286448,-0.415714683,-5.812342417,-6.446933274
Contact,-5.217583534,-2.390115903,-1.918862574,-6.009006931
Contact,-6.536496414,-2.161077959,-3.246890771,-6.199356017
Contact,-6.434752056,-4.049302962,0.850870848,-3.754894614
Contact,-7.297543238,-6.166940838,-1.806532263,-5.038154012
Contact,-7.400042319,-4.007420415,-1.898247927,-8.403049516
Contact,-3.783426604,-7.577717121,-1.375708728,-1.888581042
Contact,2.302551731,-2.196031749,0.272530442,-7.336084729
Contact,-3.113596253,-2.558128863,2.034769905,-3.5402613
Contact,3.349103906,-5.759322001,-3.696748703,-4.324521415
Contact,1.653200667,-2.647550977,-4.068719715,-6.979037034
Contact,2.846605259,-1.465343775,-1.277673113,-9.130749849
Contact,11.1947641,-4.342005129,5.961341278,-5.253356195
Contact,7.434068445,-2.891317439,0.102721968,-6.557411167
Contact,6.333143924,-2.625532753,-2.528437526,-7.15082208
Contact,6.402562337,-1.832977092,1.361115139,-5.047537662
Contact,3.802742535,-4.257656045,-1.779915999,-5.670990924
Contact,8.705921388,-3.727747248,0.486900291,-6.824012204
