duration_scaled,frequency_change_scaled,direction_scaled
0.125,1457.43,1024.208
0.149,1431.17,454.34
0.162,1207.96,513.474
0.119,2822.95,606.163
0.146,2087.67,828.24
0.146,1391.78,815.529
0.141,1601.86,1022.629
0.191,1155.44,55.997
0.13,1943.24,1146.761
0.135,1720.03,977.573
0.133,1838.2,136.017
0.127,2113.93,889.245
0.106,984.75,-95.328
0.125,1641.25,-324.409
0.138,525.2,665.296
0.119,1549.34,-249.729
0.098,905.97,-152.346
0.146,682.76,348.094
0.133,1693.77,705.297
0.149,2927.99,617.558
0.157,630.24,265.155
0.141,551.46,810.167
0.127,748.41,-159.958
0.157,1155.44,246.284
0.141,2297.75,919.746
0.173,879.71,992.898
0.165,2310.88,441.705
0.13,1549.34,835.164
0.133,2140.19,897.886
0.149,997.88,872.16
0.111,2954.25,378.027
0.138,1076.66,1005.535
0.141,879.71,1008.904
0.119,1037.27,974.998
0.135,2993.64,874.392
0.109,1575.6,-316.503
0.141,1391.78,-43.309
0.088,630.24,-164.49
0.122,1378.65,379.201
0.133,722.15,889.766
0.106,551.46,-235.586
0.138,1457.43,799.664
0.127,1339.26,952.005
0.135,512.07,889.326
0.093,787.8,-138.519
0.143,1785.68,686.012
0.09,1838.2,-214.767
0.077,2192.71,-196.65
0.133,1746.29,846.109
0.098,1102.92,-353.966
0.135,1693.77,841.323
0.133,1601.86,748.419
0.146,1798.81,530.687
0.114,1654.38,785.483
0.082,1903.85,401.929
0.135,879.71,1036.423
0.126,682.76,990.651
0.126,1037.27,1138.666
0.122,945.36,930.601
0.139,919.1,1002.731
0.117,1234.22,965.271
0.119,787.8,892.893
0.131,1391.78,1116.948
0.133,1890.72,904.834
0.104,1129.18,879.161
0.119,905.97,778.179
0.153,1916.98,857.148
0.119,2389.66,862.301
0.131,1444.3,750.42
0.106,1142.31,810.012
0.135,393.9,430.599
0.126,1102.92,926.286
0.122,1142.31,777.455
0.133,1299.87,911.956
0.122,1562.47,958.773
0.111,1851.33,811.013
0.144,879.71,641.54
0.111,774.67,622.688
0.108,656.5,635.476
0.113,1444.3,787.908
0.128,1076.66,1015.482
0.135,1024.14,877.601
0.133,866.58,956.863
0.131,971.62,1004.128
0.102,1194.83,967.533
0.142,1916.98,843.221
0.133,1234.22,729.633
0.142,971.62,810.669
0.137,1523.08,336.256
0.133,1431.17,688.143
0.148,2914.86,841.566
0.131,2363.4,509.764
0.122,971.62,802.357
0.126,2192.71,334.026
0.135,1549.34,483.345
0.124,2442.18,889.752
0.124,1339.26,665.803
0.131,1614.99,596.68
0.133,2232.1,458.092
0.128,1063.53,853.214
0.126,1930.11,1001.579
0.15,1050.4,160.425
0.139,1693.77,796.205
0.128,1562.47,474.871
0.122,2678.52,890.516
0.15,1890.72,548.024
0.1,774.67,-232.55
0.113,2113.93,193.076
0.133,1102.92,-157.764
0.135,1470.56,400.386
0.119,1102.92,-62.021
0.139,892.84,936.756
0.148,564.59,362.589
0.131,1798.81,863.639
0.102,1247.35,-188.996
0.126,1496.82,413.267
0.117,1562.47,-304.426
0.111,3072.42,7.408
0.135,958.49,225.994
0.126,538.33,-18.271
0.139,1011.01,526.952
0.122,984.75,-273.772
0.131,1444.3,-319.25
0.131,1024.14,-83.902
0.117,1431.17,813.825
0.122,1851.33,590.345
0.142,1247.35,663.167
0.119,919.1,243.603
0.148,1247.35,624.67
0.131,2048.28,694.29
0.113,945.36,-349.392
0.119,1995.76,-70.815
0.124,1142.31,1187.113
0.133,1260.48,741.889
0.111,1562.47,-457.975
0.144,774.67,370.731
0.126,971.62,914.691
0.124,341.38,-490.19
0.119,1444.3,753.683
0.148,1168.57,-188.569
0.139,1102.92,979.889
0.146,1313,314.678
0.139,1851.33,998.31
0.08,2337.14,-171.023
0.153,2836.08,382.302
0.122,498.94,-377.631
0.113,1247.35,-200.601
0.128,354.51,-315.122
0.131,1720.03,891.294
0.122,905.97,-245.798
0.119,932.23,-149.702
0.137,2179.58,947.62
0.135,1313,-546.797
0.113,1273.61,-377.004
0.17,1247.35,-443.126
0.137,1378.65,1030.66
0.142,827.19,181.509
0.126,800.93,-408.032
0.139,433.29,-324.273
0.133,2639.13,939.546
0.127,1260.48,930.958
0.137,892.84,982.58
0.146,1772.55,933.329
0.146,1391.78,882.361
0.151,1864.46,866.491
0.149,2770.43,734.128
0.143,892.84,717.415
0.13,1352.39,1098.254
0.141,1194.83,805.844
0.17,905.97,824.665
0.141,1509.95,744.566
0.13,2389.66,1056.621
0.162,1667.51,907.787
0.154,2954.25,890.683
0.13,1496.82,1091.244
0.13,1339.26,1090.993
0.127,1641.25,761.936
0.138,1037.27,813.081
0.138,1903.85,1024.525
0.143,1614.99,865.86
0.191,1181.7,662.777
0.144,1378.65,893.61
0.138,1024.14,838.851
0.124,1076.66,759.814
0.141,892.84,1060.31
0.133,3190.59,469.868
0.122,2376.53,1104.052
0.159,2048.28,1072.316
