N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
6892,3,0.165810747,2782.910157,7864.746093,5081.835938,-92.08633729,5156.513607,-749.5913851,0.060372436,0.228639634
6893,3,0.247357017,3004.736328,8086.572266,5081.835938,-24.91943699,5566.884247,-799.7390813,-0.047181206,0.257905507
6894,3,0.642176871,3004.736328,8308.398438,5303.662109,-708.1503949,5686.494321,-779.4168965,-0.081281062,0.282598586
6895,3,0.540923586,3387.890626,7058.105469,3670.214843,-819.0551503,6004.720995,-864.3356714,0.202200367,0.302718874
6896,3,0.407731347,2944.238281,7945.410157,5001.171876,152.8993341,5187.980881,-802.4114254,0.24251723,0.252418155
6897,3,0.554514632,2944.238281,7340.429688,4396.191407,-276.0401664,5631.752587,-802.065367,-0.017416734,0.301804316
6898,3,0.443068063,3004.736328,6836.279297,3831.542969,-2.299416629,5638.585025,-835.874034,-0.032339035,0.293573288
6899,3,0.222723249,3508.886719,7784.082031,4275.195312,-653.9092838,5430.165214,-822.2543429,-0.198934372,0.245101687
6900,3,0.386495338,3690.380859,6634.619141,2944.238281,-346.6895363,5270.980367,-1071.878286,-0.001576727,0.254247273
6901,3,0.464813734,3004.736328,7219.433593,4214.697266,385.0736654,5446.559823,-929.182946,0.150349786,0.268880209
6902,3,0.568105677,2843.408203,7421.09375,4577.685547,-227.0930277,5334.247112,-784.7579886,-0.005051666,0.269794767
6903,3,0.53005075,2984.570312,6977.441407,3992.871093,-222.7635581,5874.735535,-735.4609413,0.081250818,0.29265873
6904,3,0.339776123,2903.90625,7905.078126,5001.171876,-162.4868985,5350.057291,-727.0222368,0.068099055,0.267051091
6905,3,0.34521254,2944.238281,8187.402343,5243.164062,-535.4682472,5409.533315,-764.668039,-0.326579256,0.235041542
6906,3,0.29356657,3024.902343,8247.900391,5222.998047,-302.7537268,5535.148578,-982.2125206,0.344771493,0.251503597
