category,duration,direction,frequency,energy
Contact,0.3733334,-121.9203838,5123,6
Contact,0.2321996,-185.1853978,3889,6
Contact,0.2249433,-121.7355749,3882,5
Contact,0.2104309,-142.4943407,3763,5
Contact,0.337415,-226.5086061,3720,5
Contact,0.3700681,-199.6623261,3720,5
Contact,0.3664399,-272.4345002,3720,5
Contact,0.399093,-145.4436296,3720,5
Contact,0.3628118,-106.6744107,3720,5
Contact,0.3736962,-247.4949289,3889,5
Contact,0.3301587,-103.6668746,4066,5
Contact,0.3374149,-45.9021345,4066,6
Contact,0.3809524,-7.858168187,4066,6
Contact,0.3337869,-6.719994082,3889,6
Contact,0.3664399,-86.36748616,3889,6
Contact,0.3773243,-10.6156659,4116,6
Contact,0.4172335,5.226665645,3946,6
Contact,0.3882086,-35.13057062,4059,5
Contact,0.3882086,-7.945795396,4066,5
Contact,0.4099773,83.48536802,4109,5
Contact,0.3773243,-64.90830669,3889,5
Contact,0.3882086,-70.86498993,3939,5
Contact,0.3809524,-193.6576571,4686,6
Contact,0.3229025,-156.0862734,4643,6
Contact,0.4099773,-179.1647856,4693,6
Contact,0.4136054,-101.3276518,3720,6
Contact,0.3845805,-151.5258057,3720,7
Contact,0.3918367,-132.0696597,4300,6
Contact,0.3809524,-108.42587,3763,6
Contact,0.3664399,-24.67735297,3882,5
Contact,0.3845805,3.370106944,776,5
Contact,0.4498866,18.89889125,3946,6
Contact,0.4099773,27.25126506,3932,6
Contact,0.399093,25.19544362,3889,5
Contact,0.4208616,-6.589855461,3932,6
Contact,0.3918367,-12.26047596,3720,4
Contact,0.3990929,-8.43181273,3889,6
Contact,0.3664399,80.50343814,4116,7
Contact,0.3882086,-25.43020277,3932,6
Contact,0.4136054,-88.90066693,4442,6
Contact,0.431746,-98.47098444,4442,5
Contact,0.4353742,-132.3929262,4250,7
Contact,0.4027211,-124.9409026,3558,5
Contact,0.4498866,35.103747,3882,5
Contact,0.3664399,-74.86764786,3558,5
Contact,0.4244898,44.35856004,3713,4
Contact,0.4716553,36.17342351,3770,5
Contact,0.3265307,-127.9656237,3403,4
Contact,0.3428571,-112.8366356,3558,4
Contact,0.4212245,-61.80979195,3720,4
Contact,0.4277551,-33.34234468,3558,4
Contact,0.3918367,-15.79468945,3558,5
Contact,0.4408163,-93.83830063,3720,4
Contact,0.4342857,17.93143579,3720,4
Contact,0.4506122,-35.97905726,3770,5
Contact,0.4212245,15.85458101,3720,5
Contact,0.4048979,33.97206065,3720,5
Pleasure,0.1625396,423.3329604,7,5
Pleasure,0.1473016,239.1898088,0,5
Pleasure,0.1280725,297.1547499,0,6
Pleasure,0.1240816,279.2246073,0,8
Pleasure,0.117551,300.5322712,0,8
Pleasure,0.1338776,343.1778763,50,10
Pleasure,0.1828572,329.2071956,57,11
Pleasure,0.1371429,253.2076682,7,8
Pleasure,0.1422223,349.7174441,0,8
Pleasure,0.1168254,234.0824319,7,10
Pleasure,0.1320635,263.889949,0,10
Pleasure,0.1117461,302.7487314,0,13
Pleasure,0.1574603,295.3667671,0,5
Pleasure,0.1160998,364.7183106,7,3
Pleasure,0.1269842,394.9569896,0,3
Pleasure,0.1269841,354.1363687,0,5
Pleasure,0.1596372,296.3063935,7,3
Pleasure,0.152381,368.9050759,0,4
Pleasure,0.123356,339.8086666,7,6
Pleasure,0.1124716,434.3739892,7,6
Pleasure,0.1269841,247.1198398,14,10
Pleasure,0.1487528,329.8662203,0,5
Pleasure,0.1378685,392.0074077,0,8
Pleasure,0.1487529,281.1385854,7,9
Pleasure,0.13061225,304.4539383,7,4
Pleasure,0.13931973,298.0171428,7,4
Pleasure,0.09142857,400.8078372,0,8
Pleasure,0.10884354,289.3037052,0,5
Pleasure,0.11319728,300.5174974,0,6
Pleasure,0.12190476,323.2841156,0,8
Pleasure,0.11319728,314.4404298,0,8
Pleasure,0.1262585,381.0522179,0,4
Pleasure,0.09578231,270.1065316,57,8
Pleasure,0.10448979,344.7850396,7,7
Pleasure,0.12190476,320.8348444,0,4
Pleasure,0.1393197,331.9934985,0,10
Pleasure,0.1451247,380.2326621,7,3
Pleasure,0.1567347,441.8727192,7,5
Pleasure,0.1509298,376.3948172,7,4
Pleasure,0.1509297,367.8236424,7,4
Contact,0.2380045,-369.6666507,3968,6
Contact,0.2844444,-325.2112081,4080,5
Contact,0.2840817,-274.8856843,3889,7
Contact,0.3134693,-213.4695045,4300,7
Contact,0.3167347,-242.7525273,4329,6
Contact,0.395102,-298.5759902,4250,6
Contact,0.2971429,-364.4159964,4066,6
Contact,0.3167346,-293.4558636,4243,6
Contact,0.3591837,-182.1415303,4250,6
Contact,0.3330612,-218.8504401,4250,6
Contact,0.3526531,-216.4104561,3558,6
Contact,0.4244898,-290.8225728,3558,5
Contact,0.3330613,-312.0636456,3255,6
Contact,0.3526531,-260.3810787,4066,6
Contact,0.3069388,-256.5570441,3932,6
Contact,0.3428571,-253.2155292,3939,7
Contact,0.352653,-279.9604745,3932,7
Contact,0.3004082,-196.4380302,3889,8
Contact,0.3363265,-288.1305918,4066,8
Contact,0.2742857,-228.1998848,4066,8
Contact,0.2285715,-130.423414,3882,7
Contact,0.3167346,-178.3559913,3889,6
Contact,0.3004082,-41.56762471,3889,6
Contact,0.2187755,-201.7443266,3770,7
Contact,0.2808163,-227.0853853,3713,5
Contact,0.2873469,-126.8897795,3720,7
Contact,0.2938775,-183.371096,4243,7
Pleasure,0.1959184,6.947485502,7,12
Pleasure,0.2089795,76.45199759,748,6
Pleasure,0.1763265,12.35424511,7,15
Pleasure,0.1306122,116.2437532,7,18
Pleasure,0.1436734,33.11906664,0,5
Pleasure,0.1632653,80.92828705,0,9
Pleasure,0.1436735,103.0138935,7,13
Pleasure,0.1567347,75.99094432,0,11
Pleasure,0.1371429,86.05809159,0,16
Pleasure,0.1523809,114.1337402,7,7
Pleasure,0.1458503,112.8111861,7,4
Pleasure,0.1436735,34.29136696,36,12
Pleasure,0.1436734,83.74774756,7,9
Pleasure,0.1219047,83.74384882,7,13
Pleasure,0.1371428,23.07234685,7,13
Pleasure,0.1284354,45.26300411,358,17
Pleasure,0.1567346,97.48687524,0,9
Pleasure,0.1654421,46.06449668,7,14
Pleasure,0.1654422,51.09068979,7,10
Pleasure,0.1610884,139.4339743,7,9
Pleasure,0.152381,106.5937945,0,12
Pleasure,0.1589116,63.06207955,7,7
Pleasure,0.1545579,118.8959995,7,11
Pleasure,0.1502041,108.9579739,7,6
Pleasure,0.1458504,123.4339881,777,18
Pleasure,0.1240816,67.5607777,0,7
Pleasure,0.1545578,168.1510714,354,14
Pleasure,0.1589116,84.91897143,7,5
Pleasure,0.1393197,41.04885211,748,15
Pleasure,0.134966,49.85737393,7,10
Pleasure,0.1393198,127.8047752,7,4
Pleasure,0.1393197,88.21241685,7,18
Pleasure,0.1436734,79.77357752,0,4
Pleasure,0.1284353,52.36074932,0,11
Pleasure,0.1545579,87.51891532,0,7
Pleasure,0.0914286,41.86813708,0,11
Pleasure,0.1697959,23.82684499,0,10
Pleasure,0.1763265,125.2341632,0,5
Pleasure,0.185034,60.80514285,372,12
Pleasure,0.1980952,129.8707561,7,15
Pleasure,0.1567347,27.48373686,7,11
Pleasure,0.1654422,18.49616984,57,10
Pleasure,0.1654422,111.3618262,7,3
Pleasure,0.1219048,80.99349807,0,10
Pleasure,0.1741496,187.6876635,755,11
Pleasure,0.1741497,164.5803078,7,7
Pleasure,0.1371428,144.8287357,304,21
Pleasure,0.1610885,139.5059948,7,8
Pleasure,0.1240817,172.9164358,0,9
Pleasure,0.134966,54.8618558,0,7
Pleasure,0.152381,122.8393253,7,13
Pleasure,0.1697959,172.6099675,0,5
Pleasure,0.1610885,120.2205698,22,14
Pleasure,0.117551,93.55416222,14,14
Pleasure,0.18213152,146.7507065,0,18
Pleasure,0.12770976,96.12072705,372,17
Pleasure,0.1262585,162.7537627,7,4
Pleasure,0.17269841,99.45218368,14,11
Pleasure,0.1320635,101.0766278,0,11
Pleasure,0.10231293,132.3166852,7,13
Pleasure,0.11174603,38.15904684,0,9
Pleasure,0.14875284,131.6331328,14,10
Pleasure,0.1168254,176.3182984,7,4
Pleasure,0.10376417,99.45605088,0,7
Pleasure,0.13931973,164.0303676,7,5
Pleasure,0.13496598,142.2750379,7,14
Pleasure,0.12698412,173.2229575,7,15
Pleasure,0.14149659,131.266585,14,10
Pleasure,0.12190476,127.4214984,0,7
Pleasure,0.13931973,45.89425295,50,12
Pleasure,0.17414966,142.6450867,0,4
Pleasure,0.1690703,166.5332465,50,16
Pleasure,0.18285714,99.51596818,43,15
Pleasure,0.13061225,92.96313167,755,12
Pleasure,0.1371429,109.7145851,0,4
Pleasure,0.1378685,63.51800966,22,13
Pleasure,0.152381,203.7450256,0,7
Pleasure,0.1487528,79.05674315,7,9
Pleasure,0.1589116,131.1187018,0,7
Pleasure,0.1269841,118.6350522,7,6
Pleasure,0.152381,94.90256171,14,13
Pleasure,0.140771,108.0818962,7,13
Pleasure,0.1828572,149.335926,0,3
Pleasure,0.1915647,142.1968427,43,17
Pleasure,0.1066667,100.1897188,43,13
Pleasure,0.1371428,144.2340142,36,8
Pleasure,0.1422222,124.5498884,0,9
Pleasure,0.1422223,58.43272278,7,9
Pleasure,0.1676191,141.790456,7,10
Pleasure,0.1269841,114.4371984,7,6
Pleasure,0.1473016,84.23278409,7,16
Contact,0.3504762,-14.27635707,3777,6
Contact,0.375873,-74.23628602,3763,5
Contact,0.3961904,-41.51764587,3770,5
Contact,0.3707936,-10.60072422,3770,5
Contact,0.3657143,34.14459464,3939,6
Contact,0.3860317,39.16658508,3939,5
Contact,0.3809523,-9.903891253,3939,6
Contact,0.3606349,-59.16929951,3932,7
Contact,0.3961905,9.847280357,3939,5
Contact,0.3860317,-48.93589265,3763,6
Contact,0.2692064,-29.11472305,3770,7
Contact,0.2946032,3.967418227,3608,7
Contact,0.2895239,-52.61791146,3460,8
Contact,0.3250794,-4.046297513,3453,7
Contact,0.32,-115.498376,3770,7
Contact,0.2946031,-153.7982805,3453,6
Contact,0.32,-79.5277762,3601,6
Contact,0.3149206,-101.1789719,3770,5
Contact,0.3707936,-98.50239842,3763,5
Contact,0.3301587,-118.5068227,3770,6
Contact,0.3301587,-115.4082746,3770,6
Contact,0.3657143,-122.5877688,3939,6
Contact,0.3301588,-48.89310569,3939,6
Contact,0.3555556,-22.73028342,3763,6
Contact,0.3657142,-99.79588244,3453,6
Contact,0.3860318,-29.48871604,3608,6
Contact,0.3047619,-99.78565738,3939,6
Contact,0.3047619,-66.30899014,3939,5
Contact,0.3250794,-132.6175994,3932,5
Contact,0.32,-31.88932008,3939,7
Contact,0.3149206,-99.69988298,3939,6
Contact,0.3250793,-50.45403164,3939,5
Contact,0.3250794,15.4296991,3939,7
Contact,0.3352381,-94.57081173,3932,6
Contact,0.2844445,-105.5589518,3608,7
Contact,0.264127,-79.64462678,3770,7
Contact,0.32,-8.462315923,3763,5
Contact,0.3453969,-12.13531458,3770,8
Contact,0.32,-81.55988034,3453,6
Contact,0.3403175,-49.00393683,3601,7
Contact,0.3301588,-74.6638598,3453,5
Contact,0.3098413,-96.13901286,3763,7
Contact,0.3453968,-5.342320291,3763,6
Contact,0.3403175,-7.833336448,3453,6
Contact,0.360635,57.52059351,3763,5
