id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.031927438,968.9941406,4102.075195,3133.081055,-97.67863912,-0.43785,N,F,,,,,,
348,0.060929705,936.6943359,3208.447266,2271.75293,174.0292132,-0.84532,N,F,,,,,,
348,0.056258503,947.4609375,3402.246094,2454.785156,54.90368765,-0.65118,N,F,,,,,,
348,0.054761905,1313.525391,3703.710938,2390.185547,74.0667489,-0.70736,N,F,,,,,,
348,0.099591837,1270.458984,3369.946289,2099.487305,-140.3994037,-0.1015,N,F,,,,,,
348,0.089138322,1335.058594,3940.576172,2605.517578,333.7008503,-0.80757,N,F,,,,,,
348,0.060521542,1679.589844,3477.612305,1798.022461,-255.7268847,-0.28286,N,F,,,,,,
348,0.062154195,1162.792969,3585.27832,2422.485352,-155.5403553,-0.28405,N,F,,,,,,
348,0.089070295,925.9277344,3886.743164,2960.81543,626.5094997,-1.1859,N,F,,,,,,
348,0.067913832,1227.392578,3466.845703,2239.453125,-84.84109514,-0.39401,N,F,,,,,,
348,0.053900227,979.7607422,3477.612305,2497.851563,-97.58197748,-0.41957,N,F,,,,,,
348,0.072653061,1270.458984,3337.646484,2067.1875,-129.9612555,-0.32732,N,F,,,,,,
348,0.07968254,1259.692383,3380.712891,2121.020508,-186.5798474,-0.17334,N,F,,,,,,
348,0.089569161,915.1611328,3886.743164,2971.582031,459.2953973,-0.91718,N,F,,,,,,
348,0.103129252,2616.28418,3294.580078,678.2958984,55.76033165,-0.71028,N,F,,,,,,
348,0.060929705,1765.722656,4231.274414,2465.551758,519.5394165,-1.34306,N,F,,,,,,
348,0.074988662,1335.058594,3326.879883,1991.821289,-195.7504544,-0.2239,N,F,,,,,,
348,0.056893424,2002.587891,4155.908203,2153.320313,-204.3049972,-0.30895,N,F,,,,,,
348,0.077346939,1184.326172,3509.912109,2325.585938,-413.115463,0.21189,N,F,,,,,,
348,0.090997732,1442.724609,4059.008789,2616.28418,-498.6156635,0.51543,N,F,,,,,,
348,0.051564626,1152.026367,4285.107422,3133.081055,-58.77978917,-0.35167,N,F,,,,,,
348,0.06984127,1335.058594,3273.046875,1937.988281,-287.2385546,-0.13127,N,F,,,,,,
348,0.062063492,1507.324219,3251.513672,1744.189453,246.6952369,-1.07241,N,F,,,,,,
348,0.082040816,1313.525391,3348.413086,2034.887695,-226.91475,-0.11217,N,F,,,,,,
348,0.106643991,1410.424805,3273.046875,1862.62207,-65.58464861,-0.22063,N,F,,,,,,
348,0.058594104,1173.55957,3316.113281,2142.553711,-17.16175405,-0.59246,N,F,,,,,,
348,0.063492063,1173.55957,3348.413086,2174.853516,-24.84946219,-0.53622,N,F,,,,,,
348,0.063265306,990.5273438,4328.173828,3337.646484,358.8654077,-0.87244,N,F,,,,,,
348,0.078662132,1044.360352,3520.678711,2476.318359,63.80470922,-0.4922,N,F,,,,,,
348,0.111020408,1539.624023,3359.179688,1819.555664,-188.5570255,-0.00469,N,F,,,,,,
348,0.072653061,1830.322266,3090.014648,1259.692383,-325.8552639,-0.20581,N,F,,,,,,
348,0.084285714,1388.891602,3746.777344,2357.885742,521.6939526,-1.19611,N,F,,,,,,
348,0.032811791,990.5273438,4478.90625,3488.378906,-26.74246113,-0.46074,N,F,,,,,,
348,0.076462585,1216.625977,3466.845703,2250.219727,-86.36428048,-0.32504,N,F,,,,,,
348,0.03047619,979.7607422,4069.775391,3090.014648,2.305636968,-0.61561,N,F,,,,,,
