category,duration,change,direction
contact,0.28,2077.95,-374.44
contact,0.39,1927.22,-99.9
contact,0.3,1830.32,-376.18
contact,0.36,2002.59,-182.19
contact,0.29,2013.35,-125.4
contact,0.3,1690.36,-418.93
contact,0.35,1625.76,-117.92
contact,0.27,1851.86,-377.4
contact,0.29,1410.42,-194.55
contact,0.36,2400.95,-9.62
contact,0.31,2325.59,-46.77
contact,0.26,1916.46,-37.86
contact,0.31,2110.25,-441.52
contact,0.28,1636.52,-265.13
contact,0.36,1173.56,-95.09
contact,0.33,1894.92,-178.21
contact,0.32,1830.32,-403.85
contact,0.31,1808.79,73.12
contact,0.33,1873.39,19.6
contact,0.35,1582.69,-335.5
contact,0.31,1496.56,-261.23
contact,0.37,1959.52,-115.58
contact,0.35,1981.05,-1.67
contact,0.39,1873.39,55.62
contact,0.35,1313.53,-110.38
contact,0.41,1776.49,-87.35
contact,0.35,1905.69,-382.07
contact,0.38,1905.69,-91.9
contact,0.37,1625.76,-129.93
contact,0.35,1679.59,19.59
contact,0.4,1571.92,-257.72
contact,0.3,2034.89,-315.6
contact,0.36,1485.79,-51.49
contact,0.3,904.39,-314.82
pleasure,0.19,1238.16,-157.45
pleasure,0.16,1496.56,230.24
pleasure,0.15,1216.63,275.94
pleasure,0.15,1270.46,157.06
pleasure,0.19,1238.16,420.87
pleasure,0.18,1281.23,176.48
pleasure,0.15,1281.23,125.04
pleasure,0.15,1259.69,247.76
pleasure,0.14,1410.42,-2.36
pleasure,0.15,1173.56,252.81
pleasure,0.17,1485.79,38.76
pleasure,0.18,1335.06,77.83
pleasure,0.15,1184.33,126.41
pleasure,0.15,1776.49,21.57
pleasure,0.11,1195.09,42.51
pleasure,0.12,1227.39,224.44
pleasure,0.17,1216.63,254.25
pleasure,0.18,1658.06,-4.28
pleasure,0.19,1453.49,325.84
pleasure,0.21,1098.19,180.67
pleasure,0.14,1614.99,240.06
pleasure,0.15,1302.76,161.09
pleasure,0.19,1528.86,-198.82
pleasure,0.16,1410.42,-46.35
pleasure,0.21,1388.89,216.46
pleasure,0.16,1485.79,90.97
pleasure,0.17,1399.66,172.56
pleasure,0.17,1291.99,234.65
pleasure,0.13,1033.59,326.02
pleasure,0.14,1238.16,64.17
pleasure,0.17,1841.09,153.73
pleasure,0.14,1711.89,176.37
pleasure,0.16,1108.96,175.5
pleasure,0.18,1410.42,180.17
pleasure,0.14,1981.05,61.26
pleasure,0.15,1916.46,251.78
pleasure,0.18,1205.86,214.55
pleasure,0.19,2293.29,-117.98
