N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
843,P,0.141496599,1335.058594,3875.976563,2540.917969,30.31927317,2605.325331,-480.16882,0.079101553,0.120605469
844,P,0.119727891,1410.424805,4629.638672,3219.213867,106.0383178,2705.723427,-391.03085,0.02008815,0.113769531
845,P,0.206802721,1485.791016,4306.640625,2820.849609,34.95357789,3187.047938,-501.9309,-0.060304345,0.16015625
846,P,0.134240363,1464.257813,5017.236328,3552.978516,34.49260002,2934.016142,-383.06818,0.004750047,0.125976563
847,P,0.185034014,1485.791016,4823.4375,3337.646484,-428.7763426,2915.209002,-474.56152,0.085448828,0.116210938
848,P,0.141496599,1507.324219,3940.576172,2433.251953,16.27655936,2713.807318,-410.32166,0.047696905,0.119628906
849,P,0.163265306,1636.523438,4651.171875,3014.648438,-210.3479463,3215.244659,-458.11865,-0.054738095,0.143554688
850,P,0.148752834,1431.958008,5264.868164,3832.910156,-38.74704684,2853.57332,-381.50803,0.020074611,0.117675781
851,P,0.239455782,1561.157227,4338.94043,2777.783203,-971.6265029,3612.951007,-377.65143,-0.203988493,0.174316406
852,P,0.112471655,1399.658203,4791.137695,3391.479492,259.4054237,2839.280771,-347.8982,0.126677272,0.11328125
853,P,0.137868481,1399.658203,4672.705078,3273.046875,1.697350845,2695.941383,-340.5251,-0.034035454,0.122070313
854,P,0.148752834,1507.324219,4715.771484,3208.447266,-277.3781168,3051.981668,-445.55487,0.086793238,0.141601563
855,P,0.188662132,1367.358398,4543.505859,3176.147461,-146.4457432,2910.637237,-384.28177,0.026479941,0.159179688
856,C,0.337414966,1291.992188,4931.103516,3639.111328,-377.9163053,3301.958882,-346.53323,-0.031622309,0.196289063
857,C,0.116099773,1464.257813,4015.942383,2551.68457,-172.6710942,3220.900508,-367.47757,-0.039979213,0.163085938
858,C,0.396190476,2788.549805,4661.938477,1873.388672,-1132.534708,4122.409638,-322.35336,-0.020439457,0.197753906
859,C,0.373696145,1894.921875,4844.970703,2950.048828,-1152.445281,4064.881615,-333.586,-0.035325887,0.201171875
860,C,0.453514739,1830.322266,4629.638672,2799.316406,-950.2772446,3821.487544,-379.09793,-0.026586097,0.193359375
861,C,0.439002268,1690.356445,4640.405273,2950.048828,-567.3469993,3594.11542,-399.7687,0.001955527,0.180175781
862,C,0.464399093,1539.624023,4651.171875,3111.547852,-848.3124184,3592.805483,-334.98474,-0.063186143,0.190917969
863,C,0.449886621,1442.724609,4737.304688,3294.580078,-549.1438778,3549.593068,-388.3165,0.043124282,0.182128906
864,C,0.41723356,1528.857422,4812.670898,3283.813477,-628.3928888,3551.311166,-372.4722,-0.037224484,0.192871094
865,C,0.446258503,1808.789063,4554.272461,2745.483398,-782.1443082,3732.751732,-352.09488,0.068751185,0.186523438
866,C,0.431746032,1528.857422,4705.004883,3176.147461,-693.1996042,3447.886758,-385.22922,0.06882995,0.179199219
867,C,0.376598639,1356.591797,4694.238281,3337.646484,-584.7352558,3513.082612,-329.31702,-0.049831904,0.192871094
868,C,0.43537415,1345.825195,4597.338867,3251.513672,-198.1372489,3180.84438,-357.2044,0.024954648,0.169433594
869,C,0.410702948,2174.853516,4651.171875,2476.318359,-929.0172546,4097.070264,-331.25742,0.032840356,0.199707031
870,C,0.406349206,2110.253906,4683.47168,2573.217773,-1201.334677,4096.483008,-340.60062,0.142945285,0.200195313
871,C,0.411428571,1625.756836,4672.705078,3046.948242,-810.9874502,3661.550426,-399.44592,-0.029189465,0.194824219
872,C,0.420861678,1668.823242,4640.405273,2971.582031,-1100.602404,3851.342126,-360.34805,0.001483357,0.1875
873,C,0.471655329,1421.191406,4489.672852,3068.481445,-477.1578956,3369.734678,-411.03748,-0.025434261,0.152832031
874,C,0.442630385,2293.286133,4543.505859,2250.219727,-1213.744296,3973.664354,-340.6402,0.0193031,0.193359375
875,C,0.453514739,2013.354492,4500.439453,2487.084961,-973.8913524,3778.901866,-357.14706,0.010293008,0.187988281
876,C,0.439002268,1507.324219,4575.805664,3068.481445,-795.4398543,3551.932318,-400.5618,-0.016204901,0.16015625
877,C,0.43537415,1927.22168,4683.47168,2756.25,-1046.429902,3908.010024,-281.9252,0.009767655,0.188476563
878,C,0.428117914,3100.78125,4532.739258,1431.958008,-1050.95903,3916.995949,-360.06122,0.04349547,0.185546875
879,C,0.460770975,1604.223633,4640.405273,3036.181641,-953.6233956,3735.67083,-348.8191,0.00859172,0.194335938
880,C,0.486893424,1927.22168,4554.272461,2627.050781,-1194.39514,3887.973567,-390.94873,-0.008040453,0.1953125
881,C,0.420861678,2239.453125,4586.572266,2347.119141,-924.7601006,3685.999335,-377.07513,0.077204738,0.185546875
882,C,0.377324263,1614.990234,4511.206055,2896.21582,-594.4065584,3632.331889,-366.9506,-0.061434913,0.189453125
883,C,0.34829932,2767.016602,4414.306641,1647.290039,-1014.010529,3973.353726,-378.94742,0.108277205,0.187011719
884,C,0.485442177,2121.020508,4349.707031,2228.686523,-1055.928427,3750.171987,-379.85437,-0.009671971,0.1796875
885,C,0.4861678,1582.69043,4532.739258,2950.048828,-787.2275346,3538.412374,-408.45508,0.053975899,0.177246094
886,C,0.464399093,3240.74707,4500.439453,1259.692383,-1250.140963,3921.869934,-304.3214,0.030367681,0.186035156
887,C,0.457142857,2433.251953,4478.90625,2045.654297,-1110.743185,3809.871253,-375.32587,-0.010616176,0.180664063
888,C,0.431746032,2121.020508,4726.538086,2605.517578,-1296.778552,4087.466117,-351.93323,0.148426045,0.195800781
889,C,0.428843537,1894.921875,4608.105469,2713.183594,-1070.432019,3937.091308,-311.24652,-0.004959675,0.190429688
890,C,0.497052154,2368.652344,4511.206055,2142.553711,-1124.104469,3911.001156,-370.06195,0.069742512,0.1796875
891,C,0.442630385,2067.1875,4489.672852,2422.485352,-1128.87494,3847.771183,-389.95807,0.072078789,0.181152344
892,C,0.481814059,2067.1875,4457.373047,2390.185547,-1173.501893,3831.317693,-395.55905,0.145623053,0.187988281
893,C,0.442630385,2045.654297,4500.439453,2454.785156,-889.4055392,3756.617585,-378.7208,0.092506768,0.180664063
894,C,0.449160998,1744.189453,4478.90625,2734.716797,-757.5592601,3618.781779,-388.7646,-0.041050232,0.171875
895,C,0.471655329,2034.887695,4521.972656,2487.084961,-1118.112162,3830.772205,-371.9448,0.040131969,0.184082031
896,C,0.395464853,3143.847656,4468.139648,1324.291992,-998.7936895,3899.848331,-283.96164,0.119331321,0.180664063
897,C,0.439727891,1733.422852,4468.139648,2734.716797,-1009.119905,3803.40887,-352.51923,0.053551138,0.184570313
898,C,0.457142857,1744.189453,4435.839844,2691.650391,-876.4149544,3702.216079,-377.18942,0.075150245,0.181152344
899,C,0.460770975,1787.255859,4446.606445,2659.350586,-753.5321078,3616.144366,-367.37753,0.04029112,0.182617188
900,C,0.407800454,2304.052734,4069.775391,1765.722656,-631.575034,3756.312053,-388.07892,0.044041618,0.177246094
901,C,0.312018141,1582.69043,4295.874023,2713.183594,-689.8721885,3438.175803,-363.29803,0.081343576,0.173828125
